filename,dataset,kind,label,label_name,n_components,microplot,replicate,year,illumination,datetime
grain0_R22-scoop-bac17-1_8000_us_2x_2022-08-26T075332_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,1.0,2022,8000,2022-08-26 07:53:32
grain0_R22-scoop-bac17-2_8000_us_2x_2022-08-26T075757_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,2.0,2022,8000,2022-08-26 07:57:57
grain0_R22-scoop-bac17-3_8000_us_2x_2022-08-26T080240_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,3.0,2022,8000,2022-08-26 08:02:40
grain0_R22-scoop-bac17-4_8000_us_2x_2022-08-26T080731_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,4.0,2022,8000,2022-08-26 08:07:31
grain0_R22-scoop-bac18-1_8000_us_2x_2022-08-25T101052_corr,SCOOP-R2022-bacs_processed,bac,bac18,EL4X-199,1,bac18,1.0,2022,8000,2022-08-25 10:10:52
grain0_R22-scoop-bac18-2_8000_us_2x_2022-08-25T101534_corr,SCOOP-R2022-bacs_processed,bac,bac18,EL4X-199,1,bac18,2.0,2022,8000,2022-08-25 10:15:34
grain0_R22-scoop-bac18-3_8000_us_2x_2022-08-25T102116_corr,SCOOP-R2022-bacs_processed,bac,bac18,EL4X-199,1,bac18,3.0,2022,8000,2022-08-25 10:21:16
grain0_R22-scoop-bac18-4_8000_us_2x_2022-08-25T102720_corr,SCOOP-R2022-bacs_processed,bac,bac18,EL4X-199,1,bac18,4.0,2022,8000,2022-08-25 10:27:20
grain0_R22-scoop-bac41-1_8000_us_2x_2022-08-25T085523_corr,SCOOP-R2022-bacs_processed,bac,bac41,EL4X-482,1,bac41,1.0,2022,8000,2022-08-25 08:55:23
grain0_R22-scoop-bac41-2_8000_us_2x_2022-08-25T090034_corr,SCOOP-R2022-bacs_processed,bac,bac41,EL4X-482,1,bac41,2.0,2022,8000,2022-08-25 09:00:34
grain0_R22-scoop-bac41-3_8000_us_2x_2022-08-25T090635_corr,SCOOP-R2022-bacs_processed,bac,bac41,EL4X-482,1,bac41,3.0,2022,8000,2022-08-25 09:06:35
grain0_R22-scoop-bac41-4_8000_us_2x_2022-08-25T091127_corr,SCOOP-R2022-bacs_processed,bac,bac41,EL4X-482,1,bac41,4.0,2022,8000,2022-08-25 09:11:27
grain0_R22-scoop-bac42-1_8000_us_2x_2022-08-25T091619_corr,SCOOP-R2022-bacs_processed,bac,bac42,EL4X-482,1,bac42,1.0,2022,8000,2022-08-25 09:16:19
grain0_R22-scoop-bac42-2_8000_us_2x_2022-08-25T092103_corr,SCOOP-R2022-bacs_processed,bac,bac42,EL4X-482,1,bac42,2.0,2022,8000,2022-08-25 09:21:03
grain0_R22-scoop-bac42-3_8000_us_2x_2022-08-25T092611_corr,SCOOP-R2022-bacs_processed,bac,bac42,EL4X-482,1,bac42,3.0,2022,8000,2022-08-25 09:26:11
grain0_R22-scoop-bac42-4_8000_us_2x_2022-08-25T093150_corr,SCOOP-R2022-bacs_processed,bac,bac42,EL4X-482,1,bac42,4.0,2022,8000,2022-08-25 09:31:50
grain0_R22-scoop-bac43-1_8000_us_2x_2022-08-25T072659_corr,SCOOP-R2022-bacs_processed,bac,bac43,EL4X-199,1,bac43,1.0,2022,8000,2022-08-25 07:26:59
grain0_R22-scoop-bac43-2_8000_us_2x_2022-08-25T073450_corr,SCOOP-R2022-bacs_processed,bac,bac43,EL4X-199,1,bac43,2.0,2022,8000,2022-08-25 07:34:50
grain0_R22-scoop-bac43-3_8000_us_2x_2022-08-25T074127_corr,SCOOP-R2022-bacs_processed,bac,bac43,EL4X-199,1,bac43,3.0,2022,8000,2022-08-25 07:41:27
grain0_R22-scoop-bac43-4_8000_us_2x_2022-08-25T074900_corr,SCOOP-R2022-bacs_processed,bac,bac43,EL4X-199,1,bac43,4.0,2022,8000,2022-08-25 07:49:00
grain0_R22-scoop-bac50-1_8000_us_2x_2022-08-25T094858_corr,SCOOP-R2022-bacs_processed,bac,bac50,EL4X-482,1,bac50,1.0,2022,8000,2022-08-25 09:48:58
grain0_R22-scoop-bac50-2_8000_us_2x_2022-08-25T095401_corr,SCOOP-R2022-bacs_processed,bac,bac50,EL4X-482,1,bac50,2.0,2022,8000,2022-08-25 09:54:01
grain0_R22-scoop-bac50-3_8000_us_2x_2022-08-25T095956_corr,SCOOP-R2022-bacs_processed,bac,bac50,EL4X-482,1,bac50,3.0,2022,8000,2022-08-25 09:59:56
grain0_R22-scoop-bac50-4_8000_us_2x_2022-08-25T100502_corr,SCOOP-R2022-bacs_processed,bac,bac50,EL4X-482,1,bac50,4.0,2022,8000,2022-08-25 10:05:02
grain0_R22-scoop-bac57-1_8000_us_2x_2022-08-25T075611_corr,SCOOP-R2022-bacs_processed,bac,bac57,GQ4X-83,1,bac57,1.0,2022,8000,2022-08-25 07:56:11
grain0_R22-scoop-bac57-2_8000_us_2x_2022-08-25T080449_corr,SCOOP-R2022-bacs_processed,bac,bac57,GQ4X-83,1,bac57,2.0,2022,8000,2022-08-25 08:04:49
grain0_R22-scoop-bac57-3_8000_us_2x_2022-08-25T081313_corr,SCOOP-R2022-bacs_processed,bac,bac57,GQ4X-83,1,bac57,3.0,2022,8000,2022-08-25 08:13:13
grain0_R22-scoop-bac57-4_8000_us_2x_2022-08-25T082153_corr,SCOOP-R2022-bacs_processed,bac,bac57,GQ4X-83,1,bac57,4.0,2022,8000,2022-08-25 08:21:53
grain0_R22-scoop-bac7-1_8000_us_2x_2022-08-26T073523_corr,SCOOP-R2022-bacs_processed,bac,bac7,GQ4X-83,1,bac7,1.0,2022,8000,2022-08-26 07:35:23
grain0_R22-scoop-bac7-2_8000_us_2x_2022-08-26T074005_corr,SCOOP-R2022-bacs_processed,bac,bac7,GQ4X-83,1,bac7,2.0,2022,8000,2022-08-26 07:40:05
grain0_R22-scoop-bac7-3_8000_us_2x_2022-08-26T074430_corr,SCOOP-R2022-bacs_processed,bac,bac7,GQ4X-83,1,bac7,3.0,2022,8000,2022-08-26 07:44:30
grain0_R22-scoop-bac7-4_8000_us_2x_2022-08-26T074830_corr,SCOOP-R2022-bacs_processed,bac,bac7,GQ4X-83,1,bac7,4.0,2022,8000,2022-08-26 07:48:30
grain0_R22-scoop-bac71-1_8000_us_2x_2022-08-25T105928_corr,SCOOP-R2022-bacs_processed,bac,bac71,EL4X-35,1,bac71,1.0,2022,8000,2022-08-25 10:59:28
grain0_R22-scoop-bac71-2_8000_us_2x_2022-08-25T110553_corr,SCOOP-R2022-bacs_processed,bac,bac71,EL4X-35,1,bac71,2.0,2022,8000,2022-08-25 11:05:53
grain0_R22-scoop-bac71-3_8000_us_2x_2022-08-25T111916_corr,SCOOP-R2022-bacs_processed,bac,bac71,EL4X-35,1,bac71,3.0,2022,8000,2022-08-25 11:19:16
