var	mix	type
ACCROC	mix1	4way
AUBUSSON	mix1	4way
EXPERT	mix1	4way
BERGAMO	mix1	4way
BAGOU	mix2	4way
BOREGAR	mix2	4way
BELEPI	mix2	4way
KALAHARI	mix2	4way
ACCROC	mix3	4way
BOREGAR	mix3	4way
KALAHARI	mix3	4way
EXPERT	mix3	4way
BERGAMO	mix4	4way
EXPERT	mix4	4way
BOREGAR	mix4	4way
KALAHARI	mix4	4way
ACCROC	mix5	4way
AUBUSSON	mix5	4way
BOREGAR	mix5	4way
KALAHARI	mix5	4way
BAGOU	mix6	4way
BOREGAR	mix6	4way
ACCROC	mix6	4way
BERGAMO	mix6	4way
BELEPI	mix7	4way
KALAHARI	mix7	4way
AUBUSSON	mix7	4way
EXPERT	mix7	4way
ACCROC	mix8	2way
AUBUSSON	mix8	2way
ACCROC	mix9	2way
EXPERT	mix9	2way
ACCROC	mix10	2way
BERGAMO	mix10	2way
AUBUSSON	mix11	2way
EXPERT	mix11	2way
AUBUSSON	mix12	2way
BERGAMO	mix12	2way
EXPERT	mix13	2way
BERGAMO	mix13	2way
BAGOU	mix14	2way
BOREGAR	mix14	2way
BAGOU	mix15	2way
BELEPI	mix15	2way
BAGOU	mix16	2way
KALAHARI	mix16	2way
BOREGAR	mix17	2way
BELEPI	mix17	2way
BOREGAR	mix18	2way
KALAHARI	mix18	2way
BELEPI	mix19	2way
KALAHARI	mix19	2way
ACCROC	mix20	2way
BOREGAR	mix20	2way
ACCROC	mix21	2way
KALAHARI	mix21	2way
ACCROC	mix22	2way
EXPERT	mix22	2way
BOREGAR	mix23	2way
KALAHARI	mix23	2way
BOREGAR	mix24	2way
EXPERT	mix24	2way
KALAHARI	mix25	2way
EXPERT	mix25	2way
BERGAMO	mix26	2way
EXPERT	mix26	2way
BERGAMO	mix27	2way
BOREGAR	mix27	2way
BERGAMO	mix28	2way
KALAHARI	mix28	2way
EXPERT	mix29	2way
BOREGAR	mix29	2way
EXPERT	mix30	2way
KALAHARI	mix30	2way
BOREGAR	mix31	2way
KALAHARI	mix31	2way
ACCROC	mix32	2way
AUBUSSON	mix32	2way
ACCROC	mix33	2way
BOREGAR	mix33	2way
ACCROC	mix34	2way
KALAHARI	mix34	2way
AUBUSSON	mix35	2way
BOREGAR	mix35	2way
AUBUSSON	mix36	2way
KALAHARI	mix36	2way
BOREGAR	mix37	2way
KALAHARI	mix37	2way
BAGOU	mix38	2way
BOREGAR	mix38	2way
BAGOU	mix39	2way
ACCROC	mix39	2way
BAGOU	mix40	2way
BERGAMO	mix40	2way
BOREGAR	mix41	2way
ACCROC	mix41	2way
BOREGAR	mix42	2way
BERGAMO	mix42	2way
ACCROC	mix43	2way
BERGAMO	mix43	2way
BELEPI	mix44	2way
KALAHARI	mix44	2way
BELEPI	mix45	2way
AUBUSSON	mix45	2way
BELEPI	mix46	2way
EXPERT	mix46	2way
KALAHARI	mix47	2way
AUBUSSON	mix47	2way
KALAHARI	mix48	2way
EXPERT	mix48	2way
AUBUSSON	mix49	2way
EXPERT	mix49	2way
ACCROC	mix50	3way
BOREGAR	mix50	3way
KALAHARI	mix50	3way
ACCROC	mix51	3way
BAGOU	mix51	3way
BERGAMO	mix51	3way
BOREGAR	mix52	3way
BELEPI	mix52	3way
KALAHARI	mix52	3way
